asset_id,asset_type,department,section_id,location,criticality,installation_date,age_years,condition_score,traffic_load,last_maintenance_date
AST-TRA-0001,SectionInsulator,TRACTION,SEC-DDU-PNBE,KM-173/25,4,2016-01-24,10.1,82.4,32.8,2025-07-07
AST-TRA-0002,SectionInsulator,TRACTION,SEC-BCT-ST,KM-177/14,3,2021-04-07,4.9,91.2,32.3,2025-12-12
AST-TRA-0003,SectionInsulator,TRACTION,SEC-BRC-ADI,KM-304/6,3,2014-07-26,11.6,67.4,41.1,2025-06-01
AST-S_A-0004,PointMachine,S_AND_T,SEC-BRC-ADI,KM-76/14,3,2020-10-06,5.4,82.6,48.0,2026-01-08
AST-TRA-0005,SubstationTransformer,TRACTION,SEC-MAS-RU,KM-336/12,2,2010-11-12,15.3,74.3,46.5,2025-10-03
AST-TRA-0006,SectionInsulator,TRACTION,SEC-BCT-ST,KM-184/15,2,2005-05-13,20.8,55.2,53.7,2025-09-05
AST-S_A-0007,SignalPost,S_AND_T,SEC-BCT-ST,KM-318/9,1,2019-04-07,6.9,79.3,30.1,2025-06-16
AST-ENG-0008,TurnoutSwitch,ENGINEERING,SEC-DDU-PNBE,KM-265/4,4,2012-10-06,13.4,76.3,41.6,2025-09-09
AST-S_A-0009,TrackCircuit,S_AND_T,SEC-DDU-PNBE,KM-287/5,3,2013-10-06,12.4,74.5,46.2,2025-08-25
AST-ENG-0010,TurnoutSwitch,ENGINEERING,SEC-PRYJ-DDU,KM-48/10,5,2021-01-24,5.1,74.3,63.4,2025-05-16
AST-ENG-0011,TrackSegment,ENGINEERING,SEC-NDLS-GZB,KM-179/27,3,2023-08-31,2.5,88.7,37.3,2025-09-27
AST-ENG-0012,BridgeExpansionJoint,ENGINEERING,SEC-PRYJ-DDU,KM-251/5,3,2021-07-25,4.6,88.7,37.0,2025-09-01
AST-ENG-0013,TrackSegment,ENGINEERING,SEC-BCT-ST,KM-317/5,5,2018-11-12,7.3,76.4,45.5,2025-10-04
AST-ENG-0014,BridgeExpansionJoint,ENGINEERING,SEC-CNB-PRYJ,KM-195/20,5,2021-06-19,4.7,84.1,37.9,2025-09-28
AST-ENG-0015,TurnoutSwitch,ENGINEERING,SEC-MAS-RU,KM-4/26,2,2021-07-25,4.6,95.5,26.0,2025-05-23
AST-ENG-0016,BridgeExpansionJoint,ENGINEERING,SEC-ST-BRC,KM-366/29,1,2020-05-13,5.8,89.8,22.0,2025-12-11
