history_id,asset_id,section_id,department,maintenance_type,completed_date,duration_hours,cost,failure_occurred_after_days
HIST-000001,AST-TRA-0001,SEC-DDU-PNBE,TRACTION,CatenaryRetensioning,2025-04-11,4.2,123038.29,252
HIST-000002,AST-TRA-0001,SEC-DDU-PNBE,TRACTION,CatenaryRetensioning,2025-09-26,2.3,71619.45,141
HIST-000003,AST-TRA-0001,SEC-DDU-PNBE,TRACTION,OHE_Inspection,2025-01-24,3.8,58667.56,59
HIST-000004,AST-TRA-0001,SEC-DDU-PNBE,TRACTION,ContactWireReplacement,2025-10-13,2.3,53256.2,262
HIST-000005,AST-TRA-0002,SEC-BCT-ST,TRACTION,SectionInsulatorAdjust,2024-09-12,3.3,49521.09,359
HIST-000006,AST-TRA-0002,SEC-BCT-ST,TRACTION,OHE_Inspection,2025-09-14,1.8,84231.08,309
HIST-000007,AST-TRA-0003,SEC-BRC-ADI,TRACTION,SectionInsulatorAdjust,2025-02-16,4.2,99228.38,228
HIST-000008,AST-S_A-0004,SEC-BRC-ADI,S_AND_T,PointMachineOverhaul,2024-04-18,2.1,47559.75,323
HIST-000009,AST-S_A-0004,SEC-BRC-ADI,S_AND_T,PointMachineOverhaul,2025-08-08,2.7,89654.34,107
HIST-000010,AST-TRA-0005,SEC-MAS-RU,TRACTION,ContactWireReplacement,2025-07-09,2.6,105723.12,297
HIST-000011,AST-TRA-0006,SEC-BCT-ST,TRACTION,CatenaryRetensioning,2025-01-26,2.1,68035.99,312
HIST-000012,AST-TRA-0006,SEC-BCT-ST,TRACTION,SectionInsulatorAdjust,2024-04-24,3.3,87852.22,265
HIST-000013,AST-TRA-0006,SEC-BCT-ST,TRACTION,OHE_Inspection,2025-09-23,4.2,99443.2,121
HIST-000014,AST-S_A-0007,SEC-BCT-ST,S_AND_T,AxleCounterCalibration,2024-09-16,2.7,49379.73,352
HIST-000015,AST-S_A-0007,SEC-BCT-ST,S_AND_T,CableMeggering,2024-09-11,1.6,68877.76,208
HIST-000016,AST-S_A-0007,SEC-BCT-ST,S_AND_T,CableMeggering,2025-11-15,2.6,70786.46,203
HIST-000017,AST-ENG-0008,SEC-DDU-PNBE,ENGINEERING,JointWelding,2025-04-26,3.5,129757.39,59
HIST-000018,AST-ENG-0008,SEC-DDU-PNBE,ENGINEERING,SwitchOverhaul,2025-11-15,4.2,85085.06,340
HIST-000019,AST-ENG-0008,SEC-DDU-PNBE,ENGINEERING,SwitchOverhaul,2024-10-01,2.1,75472.9,345
HIST-000020,AST-S_A-0009,SEC-DDU-PNBE,S_AND_T,SignalTesting,2025-06-26,4.4,49984.78,269
HIST-000021,AST-ENG-0010,SEC-PRYJ-DDU,ENGINEERING,RailGrinding,2024-06-02,2.6,68697.81,259
HIST-000022,AST-ENG-0010,SEC-PRYJ-DDU,ENGINEERING,JointWelding,2025-06-20,4.4,72865.68,248
HIST-000023,AST-ENG-0010,SEC-PRYJ-DDU,ENGINEERING,JointWelding,2025-10-31,3.5,96963.39,119
HIST-000024,AST-ENG-0011,SEC-NDLS-GZB,ENGINEERING,TrackTamping,2025-12-09,4.1,92487.44,84
HIST-000025,AST-ENG-0012,SEC-PRYJ-DDU,ENGINEERING,JointWelding,2024-08-19,2.4,120788.33,153
HIST-000026,AST-ENG-0012,SEC-PRYJ-DDU,ENGINEERING,TrackTamping,2025-06-25,2.3,33569.81,339
HIST-000027,AST-ENG-0013,SEC-BCT-ST,ENGINEERING,TrackTamping,2024-10-20,4.3,103499.94,97
HIST-000028,AST-ENG-0013,SEC-BCT-ST,ENGINEERING,RailGrinding,2025-10-22,2.1,139723.13,142
HIST-000029,AST-ENG-0013,SEC-BCT-ST,ENGINEERING,JointWelding,2024-12-19,1.8,139927.95,330
HIST-000030,AST-ENG-0013,SEC-BCT-ST,ENGINEERING,BallastCleaning,2025-06-29,3.5,65338.19,329
HIST-000031,AST-ENG-0014,SEC-CNB-PRYJ,ENGINEERING,JointWelding,2026-01-09,4.5,64213.82,53
HIST-000032,AST-ENG-0015,SEC-MAS-RU,ENGINEERING,TrackTamping,2025-06-04,2.0,24870.1,204
HIST-000033,AST-ENG-0015,SEC-MAS-RU,ENGINEERING,TrackTamping,2025-05-13,2.7,33682.71,61
HIST-000034,AST-ENG-0015,SEC-MAS-RU,ENGINEERING,SwitchOverhaul,2024-08-09,4.0,107855.08,285
HIST-000035,AST-ENG-0015,SEC-MAS-RU,ENGINEERING,BallastCleaning,2025-09-18,2.2,117530.96,290
HIST-000036,AST-ENG-0016,SEC-ST-BRC,ENGINEERING,BallastCleaning,2025-01-15,1.8,126713.78,162
HIST-000037,AST-ENG-0017,SEC-BCT-ST,ENGINEERING,JointWelding,2024-05-11,4.4,141105.04,258
HIST-000038,AST-ENG-0017,SEC-BCT-ST,ENGINEERING,TrackTamping,2024-04-15,3.7,62156.15,320
HIST-000039,AST-TRA-0018,SEC-GZB-CNB,TRACTION,OHE_Inspection,2025-05-16,4.4,113028.55,331
HIST-000040,AST-TRA-0018,SEC-GZB-CNB,TRACTION,SectionInsulatorAdjust,2025-08-05,2.8,115917.05,163
HIST-000041,AST-ENG-0019,SEC-GZB-CNB,ENGINEERING,SwitchOverhaul,2024-05-20,2.9,95083.02,147
HIST-000042,AST-ENG-0019,SEC-GZB-CNB,ENGINEERING,RailGrinding,2025-04-12,3.0,29270.53,248
HIST-000043,AST-ENG-0019,SEC-GZB-CNB,ENGINEERING,TrackTamping,2025-10-10,4.2,62163.34,173
HIST-000044,AST-ENG-0019,SEC-GZB-CNB,ENGINEERING,RailGrinding,2024-09-25,3.7,143132.57,79
HIST-000045,AST-ENG-0020,SEC-HWH-KGP,ENGINEERING,TrackTamping,2024-09-19,3.6,71033.21,321
HIST-000046,AST-ENG-0020,SEC-HWH-KGP,ENGINEERING,TrackTamping,2024-11-05,1.5,61506.99,133
HIST-000047,AST-TRA-0021,SEC-BRC-ADI,TRACTION,OHE_Inspection,2024-10-15,2.2,77640.93,170
HIST-000048,AST-TRA-0021,SEC-BRC-ADI,TRACTION,SectionInsulatorAdjust,2024-09-08,1.9,108386.52,179
HIST-000049,AST-TRA-0021,SEC-BRC-ADI,TRACTION,SectionInsulatorAdjust,2024-11-09,4.4,135785.22,163
HIST-000050,AST-TRA-0021,SEC-BRC-ADI,TRACTION,ContactWireReplacement,2025-07-14,1.6,56621.15,360
HIST-000051,AST-ENG-0022,SEC-BCT-ST,ENGINEERING,BallastCleaning,2025-02-24,4.3,132495.56,282
HIST-000052,AST-S_A-0023,SEC-BRC-ADI,S_AND_T,AxleCounterCalibration,2024-09-03,1.6,88462.07,343
HIST-000053,AST-S_A-0023,SEC-BRC-ADI,S_AND_T,RelayInterlockingInspection,2025-12-19,4.1,43915.33,345
HIST-000054,AST-ENG-0024,SEC-GZB-CNB,ENGINEERING,TrackTamping,2024-10-19,3.9,79213.03,226
HIST-000055,AST-ENG-0024,SEC-GZB-CNB,ENGINEERING,TrackTamping,2025-07-14,3.4,25837.84,269
HIST-000056,AST-ENG-0024,SEC-GZB-CNB,ENGINEERING,TrackTamping,2025-01-04,3.6,126785.83,113
HIST-000057,AST-ENG-0024,SEC-GZB-CNB,ENGINEERING,TrackTamping,2025-05-28,2.7,114025.41,198
HIST-000058,AST-S_A-0025,SEC-GZB-CNB,S_AND_T,AxleCounterCalibration,2025-09-10,3.5,62897.14,221
HIST-000059,AST-ENG-0026,SEC-GZB-CNB,ENGINEERING,BallastCleaning,2025-09-12,3.4,34017.83,104
HIST-000060,AST-ENG-0026,SEC-GZB-CNB,ENGINEERING,TrackTamping,2026-01-15,4.2,134156.72,61
HIST-000061,AST-ENG-0026,SEC-GZB-CNB,ENGINEERING,JointWelding,2024-09-29,2.1,85936.92,250
HIST-000062,AST-ENG-0026,SEC-GZB-CNB,ENGINEERING,TrackTamping,2024-08-15,1.8,135898.06,260
HIST-000063,AST-ENG-0027,SEC-GZB-CNB,ENGINEERING,JointWelding,2025-10-15,4.2,80423.29,99
HIST-000064,AST-ENG-0028,SEC-DDU-PNBE,ENGINEERING,RailGrinding,2025-05-26,4.4,31150.11,222
HIST-000065,AST-ENG-0028,SEC-DDU-PNBE,ENGINEERING,SwitchOverhaul,2025-07-09,2.5,30801.65,151
HIST-000066,AST-ENG-0029,SEC-BCT-ST,ENGINEERING,BallastCleaning,2025-04-27,2.1,69711.38,126
HIST-000067,AST-ENG-0029,SEC-BCT-ST,ENGINEERING,BallastCleaning,2024-12-01,3.7,127914.61,229
HIST-000068,AST-ENG-0030,SEC-PRYJ-DDU,ENGINEERING,RailGrinding,2025-05-01,3.0,91457.71,180
HIST-000069,AST-ENG-0030,SEC-PRYJ-DDU,ENGINEERING,TrackTamping,2025-08-05,2.4,38205.39,153
HIST-000070,AST-ENG-0031,SEC-BCT-ST,ENGINEERING,JointWelding,2025-11-02,3.2,72966.51,232
HIST-000071,AST-ENG-0031,SEC-BCT-ST,ENGINEERING,TrackTamping,2025-01-16,2.8,75440.82,259
HIST-000072,AST-TRA-0032,SEC-HWH-KGP,TRACTION,TransformerOilFiltration,2024-10-18,3.1,88889.25,64
HIST-000073,AST-S_A-0033,SEC-BRC-ADI,S_AND_T,CableMeggering,2024-09-10,3.9,83011.46,359
HIST-000074,AST-S_A-0033,SEC-BRC-ADI,S_AND_T,SignalTesting,2024-12-14,3.3,127630.35,264
HIST-000075,AST-S_A-0033,SEC-BRC-ADI,S_AND_T,CableMeggering,2024-05-16,2.1,111197.74,309
HIST-000076,AST-S_A-0034,SEC-ST-BRC,S_AND_T,RelayInterlockingInspection,2024-06-20,3.6,82521.91,262
HIST-000077,AST-S_A-0034,SEC-ST-BRC,S_AND_T,RelayInterlockingInspection,2025-06-04,2.4,26989.36,138
HIST-000078,AST-S_A-0034,SEC-ST-BRC,S_AND_T,RelayInterlockingInspection,2024-07-25,4.1,60078.33,346
HIST-000079,AST-S_A-0034,SEC-ST-BRC,S_AND_T,SignalTesting,2025-12-23,2.3,128782.78,213
HIST-000080,AST-S_A-0035,SEC-DDU-PNBE,S_AND_T,CableMeggering,2024-11-19,2.5,89448.74,213
HIST-000081,AST-S_A-0035,SEC-DDU-PNBE,S_AND_T,AxleCounterCalibration,2024-08-19,4.4,94973.69,119
HIST-000082,AST-S_A-0035,SEC-DDU-PNBE,S_AND_T,SignalTesting,2025-10-05,1.6,134099.16,187
HIST-000083,AST-ENG-0036,SEC-NDLS-GZB,ENGINEERING,SwitchOverhaul,2024-07-06,3.9,71762.07,172
HIST-000084,AST-ENG-0036,SEC-NDLS-GZB,ENGINEERING,BallastCleaning,2024-08-13,2.0,118158.41,345
HIST-000085,AST-ENG-0036,SEC-NDLS-GZB,ENGINEERING,RailGrinding,2024-11-02,2.5,70721.9,340
HIST-000086,AST-TRA-0037,SEC-BRC-ADI,TRACTION,OHE_Inspection,2024-08-29,2.8,106806.43,139
HIST-000087,AST-TRA-0037,SEC-BRC-ADI,TRACTION,ContactWireReplacement,2025-11-18,4.3,27276.2,298
HIST-000088,AST-TRA-0037,SEC-BRC-ADI,TRACTION,OHE_Inspection,2024-04-22,4.4,41710.51,205
