task_id,asset_id,section_id,department,maintenance_type,duration_hours,severity,urgency,deadline,required_workers,required_machine,is_safety_critical
TSK-CORR-00001,AST-TRA-0001,SEC-DDU-PNBE,TRACTION,CatenaryRetensioning,2.5,2,2,2026-03-11T23:59:00,6,,False
TSK-CORR-00002,AST-ENG-0013,SEC-BCT-ST,ENGINEERING,RailGrinding,1.5,1,1,2026-03-14T23:59:00,5,,False
TSK-CORR-00003,AST-ENG-0020,SEC-HWH-KGP,ENGINEERING,RailGrinding,2.5,1,1,2026-03-14T23:59:00,4,BallastCleaningMachine,False
TSK-CORR-00004,AST-TRA-0032,SEC-HWH-KGP,TRACTION,SectionInsulatorAdjust,3.0,5,5,2026-03-03T23:59:00,5,OHE_InspectionCar,True
TSK-CORR-00005,AST-ENG-0050,SEC-BCT-ST,ENGINEERING,RailGrinding,3.0,1,1,2026-03-13T23:59:00,4,RailGrinderCar,False
TSK-CORR-00006,AST-ENG-0050,SEC-BCT-ST,ENGINEERING,JointWelding,1.5,1,1,2026-03-13T23:59:00,4,,False
TSK-CORR-00007,AST-ENG-0051,SEC-CNB-PRYJ,ENGINEERING,TrackTamping,4.0,1,1,2026-03-13T23:59:00,7,UtilityTrackVehicle,False
TSK-CORR-00008,AST-ENG-0066,SEC-CNB-PRYJ,ENGINEERING,BallastCleaning,2.5,1,1,2026-03-12T23:59:00,3,RailGrinderCar,False
TSK-CORR-00009,AST-S_A-0080,SEC-DDU-PNBE,S_AND_T,CableMeggering,2.0,3,3,2026-03-07T23:59:00,8,,False
TSK-CORR-00010,AST-S_A-0080,SEC-DDU-PNBE,S_AND_T,AxleCounterCalibration,2.0,4,5,2026-03-03T23:59:00,7,,True
TSK-CORR-00011,AST-TRA-0081,SEC-PRYJ-DDU,TRACTION,OHE_Inspection,3.0,3,3,2026-03-08T23:59:00,4,,False
TSK-CORR-00012,AST-S_A-0087,SEC-BCT-ST,S_AND_T,AxleCounterCalibration,3.0,1,1,2026-03-12T23:59:00,4,,False
TSK-CORR-00013,AST-TRA-0088,SEC-NDLS-GZB,TRACTION,ContactWireReplacement,2.0,4,5,2026-03-02T23:59:00,4,WiringTrain,True
TSK-CORR-00014,AST-ENG-0097,SEC-BCT-ST,ENGINEERING,JointWelding,2.0,1,1,2026-03-14T23:59:00,4,,False
TSK-CORR-00015,AST-ENG-0111,SEC-CNB-PRYJ,ENGINEERING,JointWelding,2.0,1,1,2026-03-12T23:59:00,8,,False
