resource_id,department,resource_type,capacity,available_from,available_until,section_id
RES-CREW-ENG-01,ENGINEERING,CREW,11,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-ST-BRC
RES-CREW-ENG-02,ENGINEERING,CREW,12,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-CNB-PRYJ
RES-CREW-ENG-03,ENGINEERING,CREW,15,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-CNB-PRYJ
RES-CREW-ENG-04,ENGINEERING,CREW,7,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-HWH-KGP
RES-CREW-ENG-05,ENGINEERING,CREW,15,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-BRC-ADI
RES-MACH-ENG-06,ENGINEERING,MACHINE,1,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-GZB-CNB
RES-MACH-ENG-07,ENGINEERING,MACHINE,1,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-BRC-ADI
RES-MACH-ENG-08,ENGINEERING,MACHINE,1,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-HWH-KGP
RES-MACH-ENG-09,ENGINEERING,MACHINE,1,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-CNB-PRYJ
RES-CREW-S_A-01,S_AND_T,CREW,13,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-BCT-ST
RES-CREW-S_A-02,S_AND_T,CREW,8,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-PRYJ-DDU
RES-CREW-S_A-03,S_AND_T,CREW,9,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-PRYJ-DDU
RES-CREW-S_A-04,S_AND_T,CREW,9,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-BRC-ADI
RES-CREW-S_A-05,S_AND_T,CREW,15,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-PRYJ-DDU
RES-MACH-S_A-15,S_AND_T,MACHINE,1,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-BCT-ST
RES-MACH-S_A-16,S_AND_T,MACHINE,1,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-HWH-KGP
RES-CREW-TRA-01,TRACTION,CREW,14,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-BRC-ADI
RES-CREW-TRA-02,TRACTION,CREW,15,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-GZB-CNB
RES-CREW-TRA-03,TRACTION,CREW,6,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-HWH-KGP
RES-CREW-TRA-04,TRACTION,CREW,10,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-PRYJ-DDU
RES-CREW-TRA-05,TRACTION,CREW,13,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-DDU-PNBE
RES-MACH-TRA-22,TRACTION,MACHINE,1,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-ST-BRC
RES-MACH-TRA-23,TRACTION,MACHINE,1,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-CNB-PRYJ
RES-MACH-TRA-24,TRACTION,MACHINE,1,2026-03-01T00:00:00,2026-03-16T23:59:00,SEC-ST-BRC
