train_id,train_number,train_type,priority,source,destination
TRN-12001,12001,EXPRESS_PASSENGER,2,HWH,MAS
TRN-12002,12002,EXPRESS_PASSENGER,2,NDLS,BCT
TRN-12003,12003,ORDINARY_PASSENGER,3,HWH,MAS
TRN-12004,12004,FREIGHT,4,NDLS,BCT
TRN-12005,12005,EXPRESS_PASSENGER,2,HWH,MAS
TRN-12006,12006,FREIGHT,4,NDLS,BCT
TRN-12007,12007,FREIGHT,4,HWH,MAS
TRN-12008,12008,PREMIUM_PASSENGER,1,NDLS,BCT
TRN-12009,12009,ORDINARY_PASSENGER,3,HWH,MAS
TRN-12010,12010,EXPRESS_PASSENGER,2,NDLS,BCT
TRN-12011,12011,EXPRESS_PASSENGER,2,HWH,MAS
TRN-12012,12012,PREMIUM_PASSENGER,1,NDLS,BCT
TRN-12013,12013,PREMIUM_PASSENGER,1,HWH,MAS
TRN-12014,12014,EXPRESS_PASSENGER,2,NDLS,BCT
TRN-12015,12015,ORDINARY_PASSENGER,3,HWH,MAS
TRN-12016,12016,ORDINARY_PASSENGER,3,NDLS,BCT
TRN-12017,12017,ORDINARY_PASSENGER,3,HWH,MAS
TRN-12018,12018,FREIGHT,4,NDLS,BCT
TRN-12019,12019,ORDINARY_PASSENGER,3,HWH,MAS
TRN-12020,12020,EXPRESS_PASSENGER,2,NDLS,BCT
TRN-12021,12021,EXPRESS_PASSENGER,2,HWH,MAS
TRN-12022,12022,PREMIUM_PASSENGER,1,NDLS,BCT
TRN-12023,12023,EXPRESS_PASSENGER,2,HWH,MAS
TRN-12024,12024,PREMIUM_PASSENGER,1,NDLS,BCT
TRN-12025,12025,EXPRESS_PASSENGER,2,HWH,MAS
TRN-12026,12026,FREIGHT,4,NDLS,BCT
TRN-12027,12027,EXPRESS_PASSENGER,2,HWH,MAS
TRN-12028,12028,ORDINARY_PASSENGER,3,NDLS,BCT
TRN-12029,12029,FREIGHT,4,HWH,MAS
TRN-12030,12030,PREMIUM_PASSENGER,1,NDLS,BCT
TRN-12031,12031,EXPRESS_PASSENGER,2,HWH,MAS
TRN-12032,12032,FREIGHT,4,NDLS,BCT
TRN-12033,12033,EXPRESS_PASSENGER,2,HWH,MAS
TRN-12034,12034,EXPRESS_PASSENGER,2,NDLS,BCT
TRN-12035,12035,EXPRESS_PASSENGER,2,HWH,MAS
TRN-12036,12036,FREIGHT,4,NDLS,BCT
TRN-12037,12037,ORDINARY_PASSENGER,3,HWH,MAS
TRN-12038,12038,ORDINARY_PASSENGER,3,NDLS,BCT
TRN-12039,12039,FREIGHT,4,HWH,MAS
TRN-12040,12040,ORDINARY_PASSENGER,3,NDLS,BCT
TRN-12041,12041,EXPRESS_PASSENGER,2,HWH,MAS
TRN-12042,12042,ORDINARY_PASSENGER,3,NDLS,BCT
TRN-12043,12043,PREMIUM_PASSENGER,1,HWH,MAS
TRN-12044,12044,EXPRESS_PASSENGER,2,NDLS,BCT
TRN-12045,12045,FREIGHT,4,HWH,MAS
TRN-12046,12046,EXPRESS_PASSENGER,2,NDLS,BCT
TRN-12047,12047,ORDINARY_PASSENGER,3,HWH,MAS
TRN-12048,12048,EXPRESS_PASSENGER,2,NDLS,BCT
TRN-12049,12049,EXPRESS_PASSENGER,2,HWH,MAS
TRN-12050,12050,FREIGHT,4,NDLS,BCT
TRN-12051,12051,EXPRESS_PASSENGER,2,HWH,MAS
TRN-12052,12052,ORDINARY_PASSENGER,3,NDLS,BCT
TRN-12053,12053,ORDINARY_PASSENGER,3,HWH,MAS
TRN-12054,12054,FREIGHT,4,NDLS,BCT
TRN-12055,12055,FREIGHT,4,HWH,MAS
TRN-12056,12056,PREMIUM_PASSENGER,1,NDLS,BCT
TRN-12057,12057,ORDINARY_PASSENGER,3,HWH,MAS
TRN-12058,12058,ORDINARY_PASSENGER,3,NDLS,BCT
TRN-12059,12059,EXPRESS_PASSENGER,2,HWH,MAS
TRN-12060,12060,EXPRESS_PASSENGER,2,NDLS,BCT
