asset_id,asset_type,department,section_id,location,criticality,condition_score,traffic_load,age_years,installation_date,last_maintenance_date
AST-ENG-0001,TrackSegment,ENGINEERING,SEC-RKMP-BPL,KM-0.0,4,85.5,41.95,20,2006-03-01,2026-01-12
AST-S_A-0002,SignalPost,S_AND_T,SEC-RKMP-BPL,KM-0.0,5,79.3,43.72,13,2013-03-01,2026-01-24
AST-TRA-0003,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-0.0,3,85.8,40.88,12,2014-03-01,2025-12-10
AST-ENG-0004,SleeperBay,ENGINEERING,SEC-RKMP-BPL,KM-0.0,4,69.4,39.09,23,2003-03-02,2026-02-04
AST-S_A-0005,InsulatedJoint,S_AND_T,SEC-RKMP-BPL,KM-0.1,4,76.2,35.09,21,2005-03-01,2026-02-03
AST-TRA-0006,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-0.1,5,73.7,31.89,10,2016-03-01,2025-11-29
AST-ENG-0007,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-0.1,3,82.3,42.9,2,2024-03-01,2025-12-16
AST-S_A-0008,InsulatedJoint,S_AND_T,SEC-RKMP-BPL,KM-0.1,3,69.9,37.39,20,2006-03-01,2026-01-14
AST-TRA-0009,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-0.1,4,69.8,41.4,4,2022-03-01,2025-09-12
AST-ENG-0010,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-0.1,5,66.3,34.25,20,2006-03-01,2025-09-30
AST-S_A-0011,PointMachine,S_AND_T,SEC-RKMP-BPL,KM-0.1,3,80.2,41.65,21,2005-03-01,2025-11-01
AST-TRA-0012,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-0.1,3,78.7,43.74,20,2006-03-01,2025-10-28
AST-ENG-0013,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-0.2,5,73.3,39.37,18,2008-03-01,2026-02-08
AST-S_A-0014,SignalPost,S_AND_T,SEC-RKMP-BPL,KM-0.2,2,69.3,37.42,22,2004-03-01,2025-11-13
