defect_id,asset_id,section_id,defect_type,severity,detected_date,overdue_days,status,location
DEF-TSK-00001,AST-ENG-0387,SEC-RKMP-BPL,TrackTampingDefect,2,2026-10-12,0,OPEN,KM-RKMP-BPL
DEF-TSK-00002,AST-S_A-0488,SEC-RKMP-BPL,SignalCableRenewalDefect,5,2026-11-09,2,OPEN,KM-RKMP-BPL
DEF-TSK-00003,AST-TRA-0226,SEC-RKMP-BPL,InsulatorReplacementDefect,3,2026-10-06,0,OPEN,KM-RKMP-BPL
DEF-TSK-00004,AST-ENG-0222,SEC-RKMP-BPL,BallastCleaningDefect,5,2026-09-23,2,OPEN,KM-RKMP-BPL
DEF-TSK-00005,AST-S_A-0414,SEC-RKMP-BPL,AxleCounterCalibrationDefect,2,2026-10-29,0,OPEN,KM-RKMP-BPL
DEF-TSK-00006,AST-TRA-0447,SEC-RKMP-BPL,OHEInspectionDefect,3,2026-11-11,0,OPEN,KM-RKMP-BPL
DEF-TSK-00007,AST-ENG-0078,SEC-RKMP-BPL,BallastCleaningDefect,3,2026-11-02,0,OPEN,KM-RKMP-BPL
DEF-TSK-00008,AST-S_A-0186,SEC-RKMP-BPL,AxleCounterCalibrationDefect,5,2026-10-14,2,OPEN,KM-RKMP-BPL
DEF-TSK-00009,AST-TRA-0238,SEC-RKMP-BPL,DropperReplacementDefect,2,2026-09-23,0,OPEN,KM-RKMP-BPL
DEF-TSK-00010,AST-ENG-0351,SEC-RKMP-BPL,SleeperRenewalDefect,4,2026-09-30,0,OPEN,KM-RKMP-BPL
DEF-TSK-00011,AST-S_A-0145,SEC-RKMP-BPL,AxleCounterCalibrationDefect,5,2026-11-02,2,OPEN,KM-RKMP-BPL
DEF-TSK-00012,AST-TRA-0004,SEC-RKMP-BPL,InsulatorReplacementDefect,2,2026-11-12,0,OPEN,KM-RKMP-BPL
DEF-TSK-00013,AST-ENG-0230,SEC-RKMP-BPL,BallastCleaningDefect,5,2026-10-23,2,OPEN,KM-RKMP-BPL
DEF-TSK-00014,AST-S_A-0335,SEC-RKMP-BPL,PointMachineOverhaulDefect,3,2026-10-14,0,OPEN,KM-RKMP-BPL
DEF-TSK-00015,AST-TRA-0277,SEC-RKMP-BPL,DropperReplacementDefect,5,2026-10-22,2,OPEN,KM-RKMP-BPL
