history_id,asset_id,section_id,department,maintenance_type,completed_date,duration_hours,cost,failure_occurred_after_days
HIS-000001,AST-ENG-0055,SEC-RKMP-BPL,ENGINEERING,JointWelding,2025-08-25T00:00:00,5.1,60076.0,10
HIS-000002,AST-TRA-0428,SEC-RKMP-BPL,TRACTION,DropperReplacement,2021-09-23T00:00:00,5.0,221428.0,146
HIS-000003,AST-ENG-0070,SEC-RKMP-BPL,ENGINEERING,TrackTamping,2025-02-24T00:00:00,4.5,645979.0,375
HIS-000004,AST-ENG-0128,SEC-RKMP-BPL,ENGINEERING,TrackTamping,2025-11-09T00:00:00,3.8,390713.0,124
HIS-000005,AST-S_A-0309,SEC-RKMP-BPL,S_AND_T,AxleCounterCalibration,2021-09-15T00:00:00,1.8,161007.0,430
HIS-000006,AST-TRA-0078,SEC-RKMP-BPL,TRACTION,OHEInspection,2023-11-22T00:00:00,7.4,106413.0,428
HIS-000007,AST-S_A-0305,SEC-RKMP-BPL,S_AND_T,AxleCounterCalibration,2024-01-19T00:00:00,2.9,197276.0,10
HIS-000008,AST-S_A-0180,SEC-RKMP-BPL,S_AND_T,PointMachineOverhaul,2026-02-14T00:00:00,6.4,60940.0,525
HIS-000009,AST-TRA-0357,SEC-RKMP-BPL,TRACTION,ContactWireReplacement,2023-02-28T00:00:00,1.4,137349.0,102
HIS-000010,AST-S_A-0372,SEC-RKMP-BPL,S_AND_T,TurnoutAdjustment,2024-12-28T00:00:00,7.2,33183.0,174
HIS-000011,AST-ENG-0208,SEC-RKMP-BPL,ENGINEERING,RailGrinding,2021-11-20T00:00:00,1.5,504869.0,10
HIS-000012,AST-S_A-0120,SEC-RKMP-BPL,S_AND_T,SignalCableRenewal,2024-12-30T00:00:00,2.3,110775.0,336
HIS-000013,AST-TRA-0186,SEC-RKMP-BPL,TRACTION,InsulatorReplacement,2022-07-23T00:00:00,1.3,576054.0,29
HIS-000014,AST-ENG-0317,SEC-RKMP-BPL,ENGINEERING,TrackTamping,2024-04-21T00:00:00,3.6,344525.0,339
