resource_id,department,resource_type,resource_name,capacity,available_from,available_until,section_id
RES-BPL-ENG-CREW-01,ENGINEERING,CREW,Habibganj P-Way Gang 04,35,2026-09-01T00:00:00,2026-12-31T23:59:00,SEC-RKMP-BPL
RES-BPL-SNT-CREW-01,S_AND_T,CREW,Bhopal Jn S&T Section Gang,30,2026-09-01T00:00:00,2026-12-31T23:59:00,SEC-RKMP-BPL
RES-BPL-TRA-CREW-01,TRACTION,CREW,BPL TRD OHE Maintenance Gang,30,2026-09-01T00:00:00,2026-12-31T23:59:00,SEC-RKMP-BPL
RES-MACH-DUOMATIC-01,ENGINEERING,MACHINE,DuomaticTampingMachine,2,2026-09-01T00:00:00,2026-12-31T23:59:00,SEC-RKMP-BPL
RES-MACH-GRINDER-01,ENGINEERING,MACHINE,RailGrindingMachine,2,2026-09-01T00:00:00,2026-12-31T23:59:00,SEC-RKMP-BPL
RES-MACH-BCM-01,ENGINEERING,MACHINE,BallastCleaningMachine,2,2026-09-01T00:00:00,2026-12-31T23:59:00,SEC-RKMP-BPL
RES-MACH-TRT-01,ENGINEERING,MACHINE,TrackRelayingTrain,2,2026-09-01T00:00:00,2026-12-31T23:59:00,SEC-RKMP-BPL
RES-MACH-WELD-01,ENGINEERING,MACHINE,MobileFlashButtWeldingPlant,2,2026-09-01T00:00:00,2026-12-31T23:59:00,SEC-RKMP-BPL
RES-MACH-TOWERWAGON-01,TRACTION,MACHINE,TowerWagon,3,2026-09-01T00:00:00,2026-12-31T23:59:00,SEC-RKMP-BPL
RES-MACH-CABLEVAN-01,S_AND_T,MACHINE,CableTestingVan,2,2026-09-01T00:00:00,2026-12-31T23:59:00,SEC-RKMP-BPL
RES-MACH-SIGKIT-01,S_AND_T,MACHINE,SignalTestingKit,3,2026-09-01T00:00:00,2026-12-31T23:59:00,SEC-RKMP-BPL
