train_id,train_number,train_type,priority,source,destination
TRN-12047,12047,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12006,12006,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12059,12059,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12031,12031,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12023,12023,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12025,12025,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12014,12014,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12052,12052,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12046,12046,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12027,12027,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12012,12012,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12033,12033,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12045,12045,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12055,12055,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12020,12020,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12049,12049,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12015,12015,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12003,12003,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12041,12041,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12005,12005,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12034,12034,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12037,12037,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12013,12013,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12017,12017,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12008,12008,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12040,12040,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12044,12044,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12010,12010,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12038,12038,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12021,12021,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12028,12028,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12036,12036,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12030,12030,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12007,12007,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12018,12018,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12035,12035,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12058,12058,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12001,12001,PREMIUM_PASSENGER,1,RKMP,BPL
TRN-12019,12019,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12057,12057,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12054,12054,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12050,12050,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12009,12009,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12056,12056,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12039,12039,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12026,12026,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12002,12002,PREMIUM_PASSENGER,1,RKMP,BPL
TRN-12016,12016,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12032,12032,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12051,12051,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12004,12004,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12048,12048,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12011,12011,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12024,12024,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12029,12029,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12042,12042,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12043,12043,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12053,12053,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12060,12060,EXPRESS_PASSENGER,2,RKMP,BPL
TRN-12022,12022,EXPRESS_PASSENGER,2,RKMP,BPL
