block_id,section_id,date,start_time,end_time,available
BLK-00001,SEC-NDLS-GZB,2026-03-01,2026-03-01T01:30:00,2026-03-01T05:00:00,True
BLK-00002,SEC-NDLS-GZB,2026-03-01,2026-03-01T11:30:00,2026-03-01T14:00:00,True
BLK-00003,SEC-GZB-CNB,2026-03-01,2026-03-01T01:30:00,2026-03-01T05:00:00,True
BLK-00004,SEC-GZB-CNB,2026-03-01,2026-03-01T11:30:00,2026-03-01T14:00:00,True
BLK-00005,SEC-CNB-PRYJ,2026-03-01,2026-03-01T01:30:00,2026-03-01T05:00:00,True
BLK-00006,SEC-CNB-PRYJ,2026-03-01,2026-03-01T11:30:00,2026-03-01T14:00:00,True
BLK-00007,SEC-PRYJ-DDU,2026-03-01,2026-03-01T01:30:00,2026-03-01T05:00:00,True
BLK-00008,SEC-PRYJ-DDU,2026-03-01,2026-03-01T11:30:00,2026-03-01T14:00:00,True
BLK-00009,SEC-DDU-PNBE,2026-03-01,2026-03-01T01:30:00,2026-03-01T05:00:00,True
BLK-00010,SEC-DDU-PNBE,2026-03-01,2026-03-01T11:30:00,2026-03-01T14:00:00,True
BLK-00011,SEC-BCT-ST,2026-03-01,2026-03-01T01:30:00,2026-03-01T05:00:00,True
BLK-00012,SEC-BCT-ST,2026-03-01,2026-03-01T11:30:00,2026-03-01T14:00:00,True
BLK-00013,SEC-ST-BRC,2026-03-01,2026-03-01T01:30:00,2026-03-01T05:00:00,True
BLK-00014,SEC-ST-BRC,2026-03-01,2026-03-01T11:30:00,2026-03-01T14:00:00,True
BLK-00015,SEC-BRC-ADI,2026-03-01,2026-03-01T01:30:00,2026-03-01T05:00:00,True
BLK-00016,SEC-BRC-ADI,2026-03-01,2026-03-01T11:30:00,2026-03-01T14:00:00,True
BLK-00017,SEC-MAS-RU,2026-03-01,2026-03-01T01:30:00,2026-03-01T05:00:00,True
BLK-00018,SEC-MAS-RU,2026-03-01,2026-03-01T11:30:00,2026-03-01T14:00:00,True
BLK-00019,SEC-HWH-KGP,2026-03-01,2026-03-01T01:30:00,2026-03-01T05:00:00,True
BLK-00020,SEC-HWH-KGP,2026-03-01,2026-03-01T11:30:00,2026-03-01T14:00:00,True
BLK-00021,SEC-NDLS-GZB,2026-03-02,2026-03-02T01:30:00,2026-03-02T05:00:00,True
BLK-00022,SEC-NDLS-GZB,2026-03-02,2026-03-02T11:30:00,2026-03-02T14:00:00,True
BLK-00023,SEC-GZB-CNB,2026-03-02,2026-03-02T01:30:00,2026-03-02T05:00:00,True
BLK-00024,SEC-GZB-CNB,2026-03-02,2026-03-02T11:30:00,2026-03-02T14:00:00,True
BLK-00025,SEC-CNB-PRYJ,2026-03-02,2026-03-02T01:30:00,2026-03-02T05:00:00,True
