movement_id,train_id,section_id,arrival_time,departure_time,direction
MOV-000001,TRN-12001,SEC-BRC-ADI,2026-03-01T15:00:00,2026-03-01T15:30:00,DOWN
MOV-000002,TRN-12001,SEC-GZB-CNB,2026-03-01T15:48:00,2026-03-01T16:17:00,DOWN
MOV-000003,TRN-12001,SEC-GZB-CNB,2026-03-02T18:45:00,2026-03-02T19:30:00,DOWN
MOV-000004,TRN-12001,SEC-HWH-KGP,2026-03-02T19:41:00,2026-03-02T20:30:00,DOWN
MOV-000005,TRN-12001,SEC-DDU-PNBE,2026-03-02T20:49:00,2026-03-02T21:40:00,DOWN
MOV-000006,TRN-12001,SEC-GZB-CNB,2026-03-03T14:30:00,2026-03-03T15:20:00,DOWN
MOV-000007,TRN-12001,SEC-NDLS-GZB,2026-03-03T15:35:00,2026-03-03T16:11:00,DOWN
MOV-000008,TRN-12001,SEC-DDU-PNBE,2026-03-03T16:32:00,2026-03-03T17:08:00,DOWN
MOV-000009,TRN-12001,SEC-BCT-ST,2026-03-04T10:15:00,2026-03-04T10:59:00,DOWN
MOV-000010,TRN-12001,SEC-MAS-RU,2026-03-04T11:24:00,2026-03-04T12:01:00,DOWN
MOV-000011,TRN-12001,SEC-PRYJ-DDU,2026-03-05T08:45:00,2026-03-05T09:16:00,DOWN
MOV-000012,TRN-12001,SEC-GZB-CNB,2026-03-05T09:32:00,2026-03-05T10:13:00,DOWN
MOV-000013,TRN-12001,SEC-CNB-PRYJ,2026-03-05T10:27:00,2026-03-05T11:08:00,DOWN
MOV-000014,TRN-12001,SEC-NDLS-GZB,2026-03-06T19:00:00,2026-03-06T19:52:00,DOWN
MOV-000015,TRN-12001,SEC-CNB-PRYJ,2026-03-07T14:45:00,2026-03-07T15:11:00,DOWN
MOV-000016,TRN-12001,SEC-BCT-ST,2026-03-07T15:33:00,2026-03-07T16:12:00,DOWN
MOV-000017,TRN-12001,SEC-ST-BRC,2026-03-08T09:15:00,2026-03-08T09:54:00,DOWN
MOV-000018,TRN-12001,SEC-CNB-PRYJ,2026-03-08T10:19:00,2026-03-08T10:46:00,DOWN
MOV-000019,TRN-12001,SEC-MAS-RU,2026-03-09T06:45:00,2026-03-09T07:15:00,DOWN
MOV-000020,TRN-12001,SEC-CNB-PRYJ,2026-03-10T15:45:00,2026-03-10T16:36:00,DOWN
MOV-000021,TRN-12001,SEC-MAS-RU,2026-03-11T08:30:00,2026-03-11T09:21:00,DOWN
