record_id,section_id,date,temperature_c,rainfall_mm,humidity_pct,weather_condition
WTH-000001,SEC-NDLS-GZB,2026-03-01,31.4,0.0,84.5,NORMAL
WTH-000002,SEC-GZB-CNB,2026-03-01,36.3,3.0,42.1,NORMAL
WTH-000003,SEC-CNB-PRYJ,2026-03-01,36.7,0.0,38.1,NORMAL
WTH-000004,SEC-PRYJ-DDU,2026-03-01,31.0,4.9,60.2,NORMAL
WTH-000005,SEC-DDU-PNBE,2026-03-01,28.7,0.3,86.6,NORMAL
WTH-000006,SEC-BCT-ST,2026-03-01,35.8,0.8,63.7,NORMAL
WTH-000007,SEC-ST-BRC,2026-03-01,37.6,2.9,62.4,NORMAL
WTH-000008,SEC-BRC-ADI,2026-03-01,33.3,0.0,64.8,NORMAL
WTH-000009,SEC-MAS-RU,2026-03-01,29.2,8.5,34.9,NORMAL
WTH-000010,SEC-HWH-KGP,2026-03-01,21.6,0.0,54.4,NORMAL
WTH-000011,SEC-NDLS-GZB,2026-03-02,30.8,0.0,81.0,NORMAL
WTH-000012,SEC-GZB-CNB,2026-03-02,34.4,0.2,67.5,NORMAL
WTH-000013,SEC-CNB-PRYJ,2026-03-02,33.4,0.6,23.3,NORMAL
WTH-000014,SEC-PRYJ-DDU,2026-03-02,29.4,0.0,48.2,NORMAL
WTH-000015,SEC-DDU-PNBE,2026-03-02,30.0,5.4,76.6,NORMAL
WTH-000016,SEC-BCT-ST,2026-03-02,28.9,0.1,40.8,NORMAL
WTH-000017,SEC-ST-BRC,2026-03-02,35.2,4.3,30.5,NORMAL
WTH-000018,SEC-BRC-ADI,2026-03-02,32.5,0.6,74.4,NORMAL
WTH-000019,SEC-MAS-RU,2026-03-02,31.7,0.0,89.8,NORMAL
WTH-000020,SEC-HWH-KGP,2026-03-02,32.0,1.3,51.9,NORMAL
WTH-000021,SEC-NDLS-GZB,2026-03-03,35.1,5.0,53.1,NORMAL
WTH-000022,SEC-GZB-CNB,2026-03-03,26.6,0.0,78.8,NORMAL
WTH-000023,SEC-CNB-PRYJ,2026-03-03,29.2,1.9,82.8,NORMAL
WTH-000024,SEC-PRYJ-DDU,2026-03-03,31.9,7.3,68.0,NORMAL
WTH-000025,SEC-DDU-PNBE,2026-03-03,32.5,7.1,87.6,NORMAL
WTH-000026,SEC-BCT-ST,2026-03-03,29.1,0.6,44.7,NORMAL
WTH-000027,SEC-ST-BRC,2026-03-03,36.5,0.0,51.9,NORMAL
WTH-000028,SEC-BRC-ADI,2026-03-03,22.4,0.9,68.2,NORMAL
WTH-000029,SEC-MAS-RU,2026-03-03,31.7,1.0,52.1,NORMAL
WTH-000030,SEC-HWH-KGP,2026-03-03,36.6,1.7,68.8,NORMAL
WTH-000031,SEC-NDLS-GZB,2026-03-04,32.7,1.2,66.9,NORMAL
WTH-000032,SEC-GZB-CNB,2026-03-04,27.8,0.0,71.9,NORMAL
WTH-000033,SEC-CNB-PRYJ,2026-03-04,37.2,1.0,45.5,NORMAL
WTH-000034,SEC-PRYJ-DDU,2026-03-04,28.3,0.1,62.8,NORMAL
WTH-000035,SEC-DDU-PNBE,2026-03-04,31.4,1.2,43.1,NORMAL
WTH-000036,SEC-BCT-ST,2026-03-04,22.6,3.8,94.8,NORMAL
WTH-000037,SEC-ST-BRC,2026-03-04,40.1,0.0,62.2,NORMAL
WTH-000038,SEC-BRC-ADI,2026-03-04,25.4,11.6,42.0,NORMAL
WTH-000039,SEC-MAS-RU,2026-03-04,31.0,0.1,63.8,NORMAL
WTH-000040,SEC-HWH-KGP,2026-03-04,35.0,0.0,60.5,NORMAL
WTH-000041,SEC-NDLS-GZB,2026-03-05,27.1,1.2,37.5,NORMAL
WTH-000042,SEC-GZB-CNB,2026-03-05,34.9,0.0,31.9,NORMAL
WTH-000043,SEC-CNB-PRYJ,2026-03-05,31.7,8.0,84.9,NORMAL
WTH-000044,SEC-PRYJ-DDU,2026-03-05,29.4,0.0,76.3,NORMAL
WTH-000045,SEC-DDU-PNBE,2026-03-05,27.7,0.6,68.3,NORMAL
WTH-000046,SEC-BCT-ST,2026-03-05,32.5,0.0,40.1,NORMAL
WTH-000047,SEC-ST-BRC,2026-03-05,34.5,1.8,65.2,NORMAL
WTH-000048,SEC-BRC-ADI,2026-03-05,36.1,1.7,65.2,NORMAL
WTH-000049,SEC-MAS-RU,2026-03-05,34.9,0.5,82.4,NORMAL
WTH-000050,SEC-HWH-KGP,2026-03-05,31.8,0.0,74.0,NORMAL
WTH-000051,SEC-NDLS-GZB,2026-03-06,29.8,0.0,67.4,NORMAL
WTH-000052,SEC-GZB-CNB,2026-03-06,31.1,0.0,67.5,NORMAL
WTH-000053,SEC-CNB-PRYJ,2026-03-06,38.4,5.4,75.3,NORMAL
WTH-000054,SEC-PRYJ-DDU,2026-03-06,20.6,0.0,87.6,NORMAL
WTH-000055,SEC-DDU-PNBE,2026-03-06,30.5,0.0,71.4,NORMAL
WTH-000056,SEC-BCT-ST,2026-03-06,24.3,0.0,61.0,NORMAL
WTH-000057,SEC-ST-BRC,2026-03-06,40.4,4.0,54.3,NORMAL
WTH-000058,SEC-BRC-ADI,2026-03-06,27.8,6.8,76.9,NORMAL
WTH-000059,SEC-MAS-RU,2026-03-06,32.1,4.3,52.2,NORMAL
WTH-000060,SEC-HWH-KGP,2026-03-06,29.5,0.0,41.0,NORMAL
WTH-000061,SEC-NDLS-GZB,2026-03-07,30.8,0.0,48.6,NORMAL
WTH-000062,SEC-GZB-CNB,2026-03-07,32.7,0.0,51.7,NORMAL
WTH-000063,SEC-CNB-PRYJ,2026-03-07,31.4,0.0,91.8,NORMAL
WTH-000064,SEC-PRYJ-DDU,2026-03-07,27.3,0.3,44.1,NORMAL
WTH-000065,SEC-DDU-PNBE,2026-03-07,36.8,0.0,63.6,NORMAL
WTH-000066,SEC-BCT-ST,2026-03-07,41.0,6.2,70.6,NORMAL
WTH-000067,SEC-ST-BRC,2026-03-07,34.3,0.0,75.9,NORMAL
